Attrition,EmployeeName,EmployeeID,Designation,PercentSalaryHike,TraininginHours,WorkLifeBalance,Tenure,MonthlySalary,,,,,,,,
NO,Cherry,100051,Data Analyst,8,58.5,Best,2," 41,466 ",,,,,,,,
NO,Owen,100052,Business Analyst,14,58.5,Good,6," 68,403 ",,,,,,,,
NO,Olivia,100053,Data Engineer,6,58.5,Good,2," 49,997 ",,,,,,,,
NO,Antony,101734,Business Analyst,10,39,Bad,1," 45,819 ",,,,,,,,
NO,Carina,101853,Data Engineer,6,39,Good,1," 45,719 ",,,,,,,,
NO,Arnold,100058,Chief Data Scientist,6,0,Good,23," 146,098 ",,,,,,,,
NO,Adelaide,100060,Business Analyst,14,39,Good,10," 69,169 ",,,,,,,,
NO,Eric,100062,Business Analyst,16,78,Good,10," 71,648 ",,,,,,,,
NO,Luke,100063,Data Engineer,14,39,Good,2," 42,504 ",,,,,,,,
YES,Hailey,100022,Data Engineer,8,39,Bad,2," 61,062 ",,,,,,,,
NO,James,100042,Software Developer,8,117,Best,5," 43,529 ",,,,,,,,
NO,Aldus,100072,Business Analyst,14,39,Bad,3," 54,793 ",,,,,,,,
NO,Adele,100073,Chief Data Scientist,6,19.5,Good,16," 146,721 ",,,,,,,,
NO,Belinda,100075,Data Engineer,10,58.5,Good,3," 54,865 ",,,,,,,,
NO,Rubie,100076,Data Engineer,16,58.5,Bad,8," 51,623 ",,,,,,,,
NO,Max,100077,Data Scientist,12,39,Best,8," 77,606 ",,,,,,,,
YES,Paige,100055,Data Engineer,6,39,Bad,2," 40,760 ",,,,,,,,
NO,Lana,100080,Chief Data Scientist,6,39,Bad,28," 130,533 ",,,,,,,,
NO,Richard,100064,Data Architect,12,39,Good,2," 78,653 ",,,,,,,,
NO,Miranda,100083,Domain Expert,8,39,Good,18," 80,657 ",,,,,,,,
NO,Vanessa,100084,Data Architect,8,39,Good,6," 105,189 ",,,,,,,,
NO,April,100086,Data Scientist,12,39,Good,2," 75,744 ",,,,,,,,
NO,Charlotte,100224,Data Analyst,10,39,Bad,6," 44,283 ",,,,,,,,
NO,Nicholas,100094,Data Analyst,18,58.5,Good,6," 39,876 ",,,,,,,,
NO,Kirsten,100095,Data Analyst,12,78,Good,2," 54,476 ",,,,,,,,
NO,Kevin,100096,Data Scientist,12,58.5,Good,11," 58,765 ",,,,,,,,
NO,Jenna,100097,Data Engineer,6,58.5,Good,2," 49,550 ",,,,,,,,
NO,Daniel,100243,Data Scientist,16,58.5,Best,1," 56,561 ",,,,,,,,
NO,Eleanor,100101,Chief Data Scientist,8,58.5,Best,1," 140,406 ",,,,,,,,
NO,Miranda,100102,Chief Data Scientist,8,58.5,Best,6," 139,934 ",,,,,,,,
NO,Sawyer,100103,Database Administrator,16,39,Good,5," 67,507 ",,,,,,,,
NO,Kate,100104,Data Engineer,6,19.5,Bad,11," 61,298 ",,,,,,,,
NO,Fenton,100107,Data Analyst,6,58.5,Good,10," 44,012 ",,,,,,,,
YES,Roland,100261,Data Scientist,8,19.5,Good,2," 53,976 ",,,,,,,,
YES,Daisy,100334,Data Analyst,10,39,Bad,2," 44,283 ",,,,,,,,
NO,Mary,100113,Software Developer,8,58.5,Good,1," 53,957 ",,,,,,,,
NO,Stuart,100116,Data Engineer,18,78,Good,5," 38,462 ",,,,,,,,
NO,Grace,100117,Domain Expert,14,58.5,Good,12," 59,684 ",,,,,,,,
NO,Violet,100342,Data Analyst,12,97.5,Bad,5," 45,832 ",,,,,,,,
YES,Isabella,100392,Data Engineer,16,0,Bad,2," 37,246 ",,,,,,,,
NO,Luke,100125,Business Analyst,10,0,Good,12," 80,716 ",,,,,,,,
NO,Aiden,100126,Chief Data Scientist,6,78,Bad,5," 145,132 ",,,,,,,,
NO,Jared,100445,Domain Expert,10,58.5,Good,1," 61,719 ",,,,,,,,
NO,Honey,100485,Data Analyst,8,39,Bad,3," 33,593 ",,,,,,,,
NO,Belinda,100132,Data Engineer,6,58.5,Best,4," 43,257 ",,,,,,,,
NO,Patrick,100133,Database Administrator,16,58.5,Good,4," 42,668 ",,,,,,,,
NO,Rosie,100137,Data Engineer,12,97.5,Good,2," 65,222 ",,,,,,,,
NO,Fiona,100138,Data Analyst,8,58.5,Good,12," 58,965 ",,,,,,,,
NO,Deanna,100140,Data Architect,16,58.5,Good,4," 75,544 ",,,,,,,,
NO,Edith,100141,Chief Data Scientist,14,19.5,Bad,9," 150,905 ",,,,,,,,
NO,Clark,100144,Data Engineer,10,97.5,Good,1," 47,004 ",,,,,,,,
NO,Gianna,100147,Data Engineer,18,58.5,Good,10," 51,059 ",,,,,,,,
NO,Wilson,100148,Data Architect,6,58.5,Good,6," 105,438 ",,,,,,,,
NO,Sarah,100150,Data Engineer,6,39,Good,6," 46,734 ",,,,,,,,
NO,Alina,100151,Data Analyst,10,58.5,Good,2," 43,634 ",,,,,,,,
YES,Mary,100487,Data Scientist,8,39,Best,2," 61,955 ",,,,,,,,
NO,Kellan,100155,Data Engineer,16,39,Good,2," 37,460 ",,,,,,,,
NO,Albert,100159,Data Analyst,20,39,Bad,11," 41,279 ",,,,,,,,
NO,Tess,100494,Software Developer,10,0,Good,1," 32,002 ",,,,,,,,
NO,Alen,100622,Data Scientist,6,58.5,Bad,2," 67,535 ",,,,,,,,
NO,Amelia,100162,Chief Data Scientist,8,78,Good,21," 148,831 ",,,,,,,,
NO,Alexia,100684,Data Analyst,12,78,Bad,6," 52,545 ",,,,,,,,
NO,Joyce,100164,Data Analyst,14,58.5,Bad,6," 40,547 ",,,,,,,,
NO,Lucas,100169,Data Engineer,8,39,Good,3," 57,903 ",,,,,,,,
NO,Penelope,100171,Data Analyst,6,39,Good,4," 42,681 ",,,,,,,,
NO,Chester,100701,Data Analyst,6,97.5,Good,1," 31,889 ",,,,,,,,
NO,Alexia,100177,Database Administrator,18,58.5,Good,9," 61,226 ",,,,,,,,
NO,Rafael,100178,Data Scientist,14,0,Good,4," 70,760 ",,,,,,,,
NO,Tony,100771,Data Scientist,8,39,Good,1," 68,161 ",,,,,,,,
NO,Kellan,100182,Business Analyst,8,19.5,Best,13," 60,403 ",,,,,,,,
NO,Carlos,100183,Business Analyst,12,58.5,Good,3," 68,249 ",,,,,,,,
NO,Maya,100190,Data Engineer,16,39,Best,6," 57,291 ",,,,,,,,
YES,Chloe,100773,Data Analyst,8,0,Bad,2," 36,021 ",,,,,,,,
NO,Carlos,100193,Data Analyst,14,39,Good,4," 44,389 ",,,,,,,,
NO,Alfred,100195,Business Analyst,12,39,Best,9," 64,137 ",,,,,,,,
YES,Emma,100812,Data Engineer,6,78,Good,2," 31,744 ",,,,,,,,
YES,Tara,100816,Data Engineer,6,19.5,Good,2," 37,325 ",,,,,,,,
NO,Paige,100200,Data Engineer,16,39,Good,6," 40,406 ",,,,,,,,
NO,Aston,100201,Data Engineer,8,58.5,Good,2," 56,184 ",,,,,,,,
NO,Edward,100202,Data Analyst,6,39,Good,7," 43,434 ",,,,,,,,
NO,Marcus,100911,Software Developer,18,39,Bad,2," 32,934 ",,,,,,,,
NO,Vivian,100205,Software Developer,14,58.5,Bad,8," 41,796 ",,,,,,,,
NO,Joyce,100206,Data Engineer,12,39,Bad,9," 50,693 ",,,,,,,,
NO,Briony,100214,Data Analyst,14,58.5,Bad,2," 46,098 ",,,,,,,,
NO,Antony,100918,Data Analyst,8,58.5,Bad,2," 38,044 ",,,,,,,,
NO,James,100216,Software Developer,12,58.5,Good,5," 46,121 ",,,,,,,,
NO,Aston,100217,Data Analyst,18,117,Good,3," 43,953 ",,,,,,,,
YES,Gianna,100923,Data Analyst,14,58.5,Bad,2," 31,732 ",,,,,,,,
YES,Ada,100959,Software Developer,8,58.5,Best,2," 24,992 ",,,,,,,,
NO,Lucia,101016,Domain Expert,18,39,Good,2," 78,654 ",,,,,,,,
NO,Vincent,100227,Data Analyst,6,39,Good,10," 53,144 ",,,,,,,,
NO,Freddie,100228,Business Analyst,6,39,Good,11," 71,336 ",,,,,,,,
NO,Alexia,100230,Business Analyst,16,39,Best,9," 68,320 ",,,,,,,,
YES,Julia,101033,Domain Expert,10,39,Bad,2," 56,287 ",,,,,,,,
YES,Brooke,101052,Data Engineer,8,58.5,Bad,2," 56,960 ",,,,,,,,
YES,Amber,101079,Data Engineer,8,117,Bad,2," 36,684 ",,,,,,,,
NO,Kelvin,100240,Business Analyst,6,58.5,Best,6," 76,993 ",,,,,,,,
NO,Miranda,100242,Data Analyst,8,39,Best,4," 48,559 ",,,,,,,,
NO,Vivian,101107,Data Scientist,12,0,Best,2," 67,543 ",,,,,,,,
NO,Sabrina,100244,Business Analyst,20,39,Good,9," 51,848 ",,,,,,,,
NO,Chelsea,100245,Data Engineer,6,58.5,Good,3," 55,960 ",,,,,,,,
YES,Byron,101111,Data Engineer,10,39,Good,2," 30,589 ",,,,,,,,
YES,Hailey,101175,Data Engineer,6,78,Bad,2," 39,634 ",,,,,,,,
NO,Catherine,101180,Data Scientist,8,58.5,Good,4," 52,105 ",,,,,,,,
NO,Anna,100254,Chief Data Scientist,6,58.5,Good,25," 157,656 ",,,,,,,,
NO,Carl,100258,Domain Expert,12,78,Good,8," 57,080 ",,,,,,,,
NO,Sydney,101210,Data Analyst,12,39,Good,2," 34,828 ",,,,,,,,
NO,Myra,100260,Data Analyst,10,39,Bad,8," 59,024 ",,,,,,,,
NO,Patrick,101219,Data Analyst,12,58.5,Best,4," 36,041 ",,,,,,,,
NO,Paige,100264,Data Architect,18,19.5,Good,9," 81,270 ",,,,,,,,
NO,Cadie,101258,Software Developer,6,78,Bad,2," 36,272 ",,,,,,,,
YES,Lucy,101269,Data Analyst,6,39,Good,2," 35,278 ",,,,,,,,
NO,April,100270,Data Scientist,10,97.5,Good,6," 70,842 ",,,,,,,,
NO,Alisa,100271,Data Scientist,8,58.5,Good,2," 75,155 ",,,,,,,,
YES,Melissa,101273,Software Developer,8,78,Good,2," 23,173 ",,,,,,,,
YES,Darcy,101364,Software Developer,8,78,Good,2," 29,858 ",,,,,,,,
NO,Samantha,100286,Data Engineer,8,39,Good,9," 42,174 ",,,,,,,,
NO,Abigail,100287,Domain Expert,8,78,Bad,4," 81,776 ",,,,,,,,
NO,Owen,101379,Software Developer,10,58.5,Best,6," 43,529 ",,,,,,,,
YES,Lily,101427,Software Developer,6,58.5,Good,2," 26,014 ",,,,,,,,
NO,Kimberly,101433,Data Analyst,6,58.5,Best,2," 34,858 ",,,,,,,,
NO,Madaline,100298,Data Architect,12,58.5,Good,2," 72,551 ",,,,,,,,
NO,Charlie,101481,Business Analyst,8,78,Good,3," 61,731 ",,,,,,,,
YES,Max,101492,Software Developer,8,58.5,Good,2," 28,326 ",,,,,,,,
NO,Alisa,100304,Data Engineer,10,58.5,Best,12," 60,767 ",,,,,,,,
NO,Heather,100305,Data Analyst,16,58.5,Good,4," 37,696 ",,,,,,,,
NO,Abigail,100306,Chief Data Scientist,8,19.5,Good,11," 148,842 ",,,,,,,,
NO,Miley,100309,Data Analyst,12,117,Good,2," 59,837 ",,,,,,,,
NO,Madaline,100311,Software Developer,12,39,Good,10," 52,625 ",,,,,,,,
NO,Harold,101569,Data Analyst,12,39,Bad,2," 34,438 ",,,,,,,,
NO,Michael,101577,Data Analyst,6,78,Good,1," 35,019 ",,,,,,,,
YES,Aiden,101601,Data Engineer,12,97.5,Bad,2," 31,696 ",,,,,,,,
YES,Oliver,101692,Data Engineer,6,39,Good,2," 36,414 ",,,,,,,,
NO,Emily,100321,Database Administrator,12,39,Bad,3," 42,056 ",,,,,,,,
YES,Ryan,101731,Business Analyst,6,58.5,Bad,2," 58,656 ",,,,,,,,
NO,Samantha,100327,Data Architect,16,58.5,Good,10," 75,674 ",,,,,,,,
NO,Julian,100328,Data Engineer,14,58.5,Best,10," 41,832 ",,,,,,,,
NO,Adrian,100329,Data Architect,12,39,Best,10," 88,718 ",,,,,,,,
NO,Kellan,101761,Data Scientist,12,39,Best,2," 85,913 ",,,,,,,,
NO,Preston,101767,Data Architect,10,78,Best,2," 83,789 ",,,,,,,,
NO,Garry,100332,Data Engineer,8,19.5,Good,4," 63,254 ",,,,,,,,
NO,Maximilian,101780,Software Developer,8,58.5,Good,2," 31,568 ",,,,,,,,
NO,Wilson,101868,Data Analyst,18,58.5,Best,2," 48,739 ",,,,,,,,
NO,Maximilian,100337,Chief Data Scientist,6,58.5,Good,3," 146,910 ",,,,,,,,
YES,Frederick,101876,Software Developer,8,58.5,Bad,2," 26,537 ",,,,,,,,
YES,Adrian,100018,Data Engineer,6,39,Good,3," 39,794 ",,,,,,,,
NO,Lucy,100343,Domain Expert,20,19.5,Good,20," 57,963 ",,,,,,,,
NO,Tara,100038,Data Architect,6,39,Bad,3," 77,629 ",,,,,,,,
NO,Victoria,100352,Chief Data Scientist,14,78,Good,22," 141,360 ",,,,,,,,
NO,Amber,100065,Data Architect,10,58.5,Bad,2," 57,750 ",,,,,,,,
NO,Elise,100359,Data Engineer,14,58.5,Bad,6," 65,692 ",,,,,,,,
NO,Ned,100361,Business Analyst,12,0,Good,9," 61,849 ",,,,,,,,
YES,Richard,100174,Business Analyst,6,58.5,Good,3," 59,954 ",,,,,,,,
NO,Lucy,100366,Business Analyst,14,39,Good,1," 78,287 ",,,,,,,,
NO,Violet,100367,Domain Expert,16,39,Good,10," 65,774 ",,,,,,,,
NO,Rosie,100372,Domain Expert,8,39,Good,21," 159,024 ",,,,,,,,
YES,John,100218,Data Analyst,12,19.5,Bad,3," 44,730 ",,,,,,,,
NO,Sarah,100378,Business Analyst,8,97.5,Best,6," 76,613 ",,,,,,,,
NO,Alberta,100379,Data Analyst,12,78,Best,4," 38,059 ",,,,,,,,
NO,Stewart,100486,Data Engineer,14,58.5,Good,6," 40,676 ",,,,,,,,
YES,Nelson,101135,Software Developer,6,78,Good,3," 32,887 ",,,,,,,,
NO,Roberts,100491,Domain Expert,10,39,Good,5," 123,676 ",,,,,,,,
YES,Warren,101160,Data Engineer,6,97.5,Bad,2," 30,753 ",,,,,,,,
NO,Andrews,101198,Data Scientist,6,39,Good,3," 57,432 ",,,,,,,,
NO,Barrett,100496,Domain Expert,14,78,Good,2," 77,062 ",,,,,,,,
NO,Carter,100497,Data Engineer,6,39,Good,6," 44,965 ",,,,,,,,
NO,Wright,100498,Business Analyst,10,19.5,Good,8," 61,897 ",,,,,,,,
NO,Campbell,100499,Domain Expert,18,39,Good,6," 129,201 ",,,,,,,,
YES,Carter,101279,Data Engineer,14,39,Bad,3," 30,930 ",,,,,,,,
NO,Cole,101464,Data Analyst,6,39,Bad,6," 43,856 ",,,,,,,,
YES,Scott,101466,Business Analyst,6,58.5,Good,3," 64,642 ",,,,,,,,
NO,Higgins,100508,Software Developer,12,58.5,Good,2," 29,175 ",,,,,,,,
NO,Gray,100510,Data Analyst,16,39,Good,7," 46,551 ",,,,,,,,
NO,Johnson,100513,Business Analyst,8,39,Good,11," 89,504 ",,,,,,,,
NO,Cole,100514,Data Analyst,18,78,Good,2," 36,924 ",,,,,,,,
NO,Grant,101479,Business Analyst,10,39,Bad,3," 62,462 ",,,,,,,,
YES,Anderson,101560,Business Analyst,8,117,Bad,3," 75,318 ",,,,,,,,
NO,Farrell,101645,Domain Expert,8,39,Best,1," 64,100 ",,,,,,,,
NO,Hill,100520,Chief Data Scientist,6,58.5,Good,26," 168,922 ",,,,,,,,
NO,Hall,100521,Data Engineer,16,58.5,Good,2," 40,629 ",,,,,,,,
NO,Douglas,100522,Chief Data Scientist,6,78,Bad,5," 228,662 ",,,,,,,,
NO,Harris,100523,Business Analyst,10,58.5,Good,4," 77,037 ",,,,,,,,
NO,Stewart,101674,Software Developer,10,39,Bad,3," 30,483 ",,,,,,,,
NO,Smith,100529,Data Analyst,10,39,Good,14," 52,423 ",,,,,,,,
NO,Ryan,101733,Database Administrator,8,58.5,Good,7," 45,819 ",,,,,,,,
NO,Armstrong,100534,Business Analyst,10,39,Good,11," 98,884 ",,,,,,,,
NO,Holmes,100536,Data Engineer,6,39,Good,11," 53,707 ",,,,,,,,
YES,Mason,101752,Software Developer,8,58.5,Good,3," 32,521 ",,,,,,,,
NO,Elliott,100543,Data Scientist,8,78,Good,6," 93,899 ",,,,,,,,
NO,Bennett,100547,Data Analyst,6,58.5,Good,6," 53,683 ",,,,,,,,
NO,Payne,100548,Data Scientist,14,39,Good,6," 71,771 ",,,,,,,,
NO,Anderson,101903,Domain Expert,10,78,Good,3," 59,304 ",,,,,,,,
NO,Murphy,100047,Domain Expert,10,39,Good,1," 61,570 ",,,,,,,,
YES,Williams,100088,Data Analyst,8,39,Bad,4," 38,768 ",,,,,,,,
NO,Mitchell,100564,Chief Data Scientist,12,39,Good,11," 140,632 ",,,,,,,,
YES,Henderson,100197,Data Analyst,8,58.5,Good,4," 36,235 ",,,,,,,,
NO,Grant,100567,Business Analyst,6,58.5,Good,10," 99,120 ",,,,,,,,
NO,Nelson,100247,Data Analyst,10,58.5,Good,4," 38,532 ",,,,,,,,
YES,Fowler,100249,Data Engineer,10,39,Bad,4," 55,041 ",,,,,,,,
NO,Robinson,100575,Chief Data Scientist,8,39,Bad,4," 210,457 ",,,,,,,,
NO,Nelson,100577,Data Engineer,10,39,Good,6," 49,843 ",,,,,,,,
NO,Craig,100578,Data Engineer,6,58.5,Good,2," 44,540 ",,,,,,,,
NO,Miller,100581,Data Scientist,20,97.5,Best,14," 125,467 ",,,,,,,,
NO,Cunningham,100331,Data Architect,10,39,Good,2," 60,556 ",,,,,,,,
NO,Kelly,100585,Software Developer,8,58.5,Good,4," 35,149 ",,,,,,,,
NO,Armstrong,100586,Domain Expert,6,39,Good,9," 89,929 ",,,,,,,,
NO,Myers,100587,Domain Expert,6,39,Good,2," 115,757 ",,,,,,,,
NO,Chapman,100394,Data Engineer,8,39,Good,4," 37,962 ",,,,,,,,
NO,Barnes,100599,Business Analyst,8,58.5,Good,15," 73,409 ",,,,,,,,
YES,Richardson,100440,Data Analyst,8,78,Bad,4," 40,816 ",,,,,,,,
NO,Cooper,100601,Data Scientist,10,58.5,Good,21," 155,973 ",,,,,,,,
NO,Nelson,100602,Data Engineer,6,58.5,Good,9," 44,246 ",,,,,,,,
NO,Alexander,100604,Business Analyst,8,39,Best,7," 77,556 ",,,,,,,,
NO,Scott,100605,Data Scientist,16,97.5,Bad,11," 87,266 ",,,,,,,,
NO,Allen,100606,Business Analyst,14,58.5,Best,9," 56,617 ",,,,,,,,
NO,Turner,100612,Chief Data Scientist,14,39,Good,7," 190,697 ",,,,,,,,
NO,Grant,100478,Software Developer,6,58.5,Bad,2," 28,617 ",,,,,,,,
NO,Hill,100616,Domain Expert,12,58.5,Good,9," 80,254 ",,,,,,,,
NO,Johnston,100650,Business Analyst,12,39,Best,5," 49,877 ",,,,,,,,
NO,Murray,100620,Business Analyst,10,58.5,Good,6," 57,253 ",,,,,,,,
NO,Barrett,100686,Software Developer,6,39,Good,8," 31,332 ",,,,,,,,
YES,Dixon,100805,Software Developer,10,19.5,Bad,4," 30,306 ",,,,,,,,
NO,Anderson,100623,Data Scientist,12,58.5,Best,7," 88,268 ",,,,,,,,
NO,Turner,100624,Domain Expert,6,58.5,Bad,3," 124,040 ",,,,,,,,
NO,Bailey,100819,Data Scientist,10,58.5,Good,4," 62,733 ",,,,,,,,
NO,Smith,100847,Database Administrator,12,19.5,Bad,4," 44,033 ",,,,,,,,
NO,Murray,100634,Domain Expert,14,78,Good,2," 115,757 ",,,,,,,,
NO,Richards,100635,Data Scientist,6,39,Bad,7," 75,965 ",,,,,,,,
NO,Kelly,100638,Chief Data Scientist,12,78,Good,30," 229,793 ",,,,,,,,
NO,Rogers,100641,Business Analyst,14,97.5,Best,6," 73,903 ",,,,,,,,
YES,Russell,100874,Data Engineer,18,39,Bad,4," 33,204 ",,,,,,,,
NO,Barrett,100648,Software Developer,12,39,Best,2," 33,955 ",,,,,,,,
NO,Barnes,100649,Data Analyst,8,58.5,Good,7," 42,678 ",,,,,,,,
YES,Ferguson,100896,Software Developer,14,58.5,Good,4," 32,993 ",,,,,,,,
NO,Richardson,100652,Data Engineer,8,58.5,Good,4," 43,373 ",,,,,,,,
NO,Warren,100653,Business Analyst,16,78,Best,8," 64,336 ",,,,,,,,
NO,Phillips,100661,Chief Data Scientist,8,58.5,Bad,2," 195,917 ",,,,,,,,
NO,Kelly,100665,Database Administrator,6,19.5,Best,3," 70,522 ",,,,,,,,
NO,Morrison,100666,Software Developer,12,58.5,Good,9," 30,389 ",,,,,,,,
NO,Brown,100926,Data Engineer,12,58.5,Bad,2," 59,147 ",,,,,,,,
NO,Murray,100669,Software Developer,6,39,Good,4," 40,616 ",,,,,,,,
NO,Perkins,100677,Business Analyst,6,58.5,Good,6," 83,707 ",,,,,,,,
NO,Barrett,100679,Data Scientist,6,39,Bad,7," 74,492 ",,,,,,,,
NO,Adams,100682,Business Analyst,14,39,Best,15," 98,754 ",,,,,,,,
NO,Grant,100974,Software Developer,8,97.5,Bad,4," 25,415 ",,,,,,,,
YES,Miller,100995,Data Analyst,12,78,Good,4," 40,676 ",,,,,,,,
NO,Dixon,100689,Data Scientist,10,39,Good,11," 111,162 ",,,,,,,,
YES,Ellis,101017,Data Engineer,12,58.5,Good,4," 38,538 ",,,,,,,,
NO,Morgan,100691,Data Scientist,8,58.5,Good,18," 78,311 ",,,,,,,,
NO,Alexander,100692,Domain Expert,18,39,Good,14," 91,025 ",,,,,,,,
NO,Walker,100699,Data Scientist,6,39,Good,4," 104,245 ",,,,,,,,
NO,Wright,101053,Data Architect,8,39,Bad,2," 72,983 ",,,,,,,,
YES,Henderson,101249,Data Analyst,10,97.5,Good,4," 44,305 ",,,,,,,,
NO,Bennett,100707,Business Analyst,16,78,Good,4," 57,160 ",,,,,,,,
NO,Evans,100712,Business Analyst,6,58.5,Good,3," 95,678 ",,,,,,,,
NO,Ellis,100714,Business Analyst,14,58.5,Good,7," 54,756 ",,,,,,,,
NO,Kate,100004,Data Analyst,10,58.5,Good,1," 38,426 ",,,,,,,,
NO,Sabrina,100364,Data Scientist,6,97.5,Best,1," 41,065 ",,,,,,,,
NO,Lilianna,100005,Data Analyst,6,58.5,Good,9," 54,663 ",,,,,,,,
NO,Ada,100007,Data Engineer,6,58.5,Good,3," 49,950 ",,,,,,,,
NO,Nicole,100008,Data Engineer,8,39,Bad,8," 45,261 ",,,,,,,,
NO,Jenna,100010,Data Engineer,14,58.5,Bad,2," 45,532 ",,,,,,,,
NO,Fenton,100011,Data Engineer,16,39,Good,2," 42,385 ",,,,,,,,
NO,Abigail,100012,Data Scientist,16,39,Good,10," 63,207 ",,,,,,,,
YES,Adrianna,100405,Data Engineer,8,39,Good,1," 36,733 ",,,,,,,,
NO,Michelle,100015,Data Engineer,6,58.5,Good,10," 48,383 ",,,,,,,,
NO,Kevin,100614,Software Developer,6,58.5,Good,1," 22,128 ",,,,,,,,
NO,David,100618,Software Developer,12,97.5,Good,8," 50,738 ",,,,,,,,
NO,Melanie,100775,Data Scientist,8,58.5,Good,1," 60,341 ",,,,,,,,
YES,Rosie,101113,Business Analyst,8,78,Good,1," 55,711 ",,,,,,,,
NO,Nicholas,101156,Data Scientist,6,0.6,Good,1," 55,716 ",,,,,,,,
NO,April,101203,Data Analyst,6,97.5,Bad,3," 33,617 ",,,,,,,,
NO,Sam,100028,Chief Data Scientist,6,78,Good,13," 183,497 ",,,,,,,,
NO,Eric,100030,Data Analyst,8,117,Good,1," 42,151 ",,,,,,,,
YES,Freddie,101212,Business Analyst,6,39,Good,1," 50,985 ",,,,,,,,
NO,Andrew,100032,Data Architect,6,58.5,Bad,14," 104,200 ",,,,,,,,
NO,Samantha,100033,Data Analyst,16,97.5,Good,11," 48,249 ",,,,,,,,
NO,Emily,100035,Business Analyst,6,39,Good,10," 77,862 ",,,,,,,,
NO,Derek,101494,Software Developer,6,39,Bad,1," 37,376 ",,,,,,,,
YES,Edgar,101504,Data Engineer,6,39,Bad,1," 30,176 ",,,,,,,,
NO,Alan,101624,Software Developer,8,39,Best,2," 36,733 ",,,,,,,,
NO,Ryan,100046,Data Analyst,6,58.5,Bad,6," 45,851 ",,,,,,,,
NO,Abigail,101687,Data Engineer,14,97.5,Bad,1," 38,955 ",,,,,,,,
NO,Nicholas,100049,Software Developer,8,58.5,Good,3," 31,275 ",,,,,,,,
NO,Cherry,100051,Data Analyst,8,58.5,Best,2," 41,466 ",,,,,,,,
NO,Owen,100052,Business Analyst,14,58.5,Good,6," 68,403 ",,,,,,,,
NO,Olivia,100053,Data Engineer,6,58.5,Good,2," 49,997 ",,,,,,,,
NO,Antony,101734,Business Analyst,10,39,Bad,1," 45,819 ",,,,,,,,
NO,Carina,101853,Data Engineer,6,39,Good,1," 45,719 ",,,,,,,,
NO,Arnold,100058,Chief Data Scientist,6,0,Good,23," 146,098 ",,,,,,,,
NO,Adelaide,100060,Business Analyst,14,39,Good,10," 69,169 ",,,,,,,,
NO,Eric,100062,Business Analyst,16,78,Good,10," 71,648 ",,,,,,,,
NO,Luke,100063,Data Engineer,14,39,Good,2," 42,504 ",,,,,,,,
YES,Hailey,100022,Data Engineer,8,39,Bad,2," 61,062 ",,,,,,,,
NO,James,100042,Software Developer,8,117,Best,5," 43,529 ",,,,,,,,
